,0
0,task
1,idx
2,true_label
3,pred_label
4,answer
5,model
6,"['d3_21_pro-choice', 133, 0, 1, 'yes', 'meta']"
7,"['d3_21_pro-choice', 133, 0, 0, 'no', 'openai']"
8,"['d3_21_pro-choice', 133, 0, 1, 'yes', 'mistral']"
9,"['d3_21_pro-choice', 133, 0, 1, 'yes', 'gpt4']"
10,"['d3_21_pro-choice', 5, 1, 1, 'yes', 'mistral']"
11,"['d3_21_pro-choice', 5, 1, 1, 'yes', 'meta']"
12,"['d3_21_pro-choice', 5, 1, 1, 'yes', 'openai']"
13,"['d3_21_pro-choice', 5, 1, 1, 'yes', 'gpt4']"
14,"['d3_21_pro-choice', 57, 0, 0, 'no', 'openai']"
15,"['d3_21_pro-choice', 57, 0, 0, 'no', 'mistral']"
16,"['d3_21_pro-choice', 57, 0, 0, 'no', 'meta']"
17,"['d3_21_pro-choice', 57, 0, 0, 'no', 'gpt4']"
18,"['d3_21_pro-choice', 46, 0, 0, 'no', 'openai']"
19,"['d3_21_pro-choice', 46, 0, 0, 'no', 'meta']"
20,"['d3_21_pro-choice', 46, 0, 0, 'no', 'mistral']"
21,"['d3_21_pro-choice', 46, 0, 0, 'no', 'gpt4']"
22,"['d3_21_pro-choice', 153, 0, 0, 'no', 'mistral']"
23,"['d3_21_pro-choice', 153, 0, 0, 'no', 'meta']"
24,"['d3_21_pro-choice', 153, 0, 0, 'no', 'openai']"
25,"['d3_21_pro-choice', 153, 0, 0, 'no', 'gpt4']"
26,"['d3_21_pro-choice', 141, 0, 0, 'no', 'openai']"
27,"['d3_21_pro-choice', 141, 0, 0, 'no', 'meta']"
28,"['d3_21_pro-choice', 141, 0, 0, 'no', 'mistral']"
29,"['d3_21_pro-choice', 141, 0, 0, 'no', 'gpt4']"
30,"['d3_21_pro-choice', 186, 0, 0, 'no', 'openai']"
31,"['d3_21_pro-choice', 186, 0, 0, 'no', 'meta']"
32,"['d3_21_pro-choice', 186, 0, 0, 'no', 'mistral']"
33,"['d3_21_pro-choice', 186, 0, 0, 'no', 'gpt4']"
34,"['d3_21_pro-choice', 18, 1, 1, 'yes', 'openai']"
35,"['d3_21_pro-choice', 18, 1, 1, 'yes', 'mistral']"
36,"['d3_21_pro-choice', 18, 1, 1, 'yes', 'meta']"
37,"['d3_21_pro-choice', 18, 1, 1, 'yes', 'gpt4']"
38,"['d3_21_pro-choice', 88, 0, 0, 'no', 'mistral']"
39,"['d3_21_pro-choice', 88, 0, 0, 'no', 'meta']"
40,"['d3_21_pro-choice', 88, 0, 1, 'yes', 'openai']"
41,"['d3_21_pro-choice', 88, 0, 1, 'yes', 'gpt4']"
42,"['d3_21_pro-choice', 6, 1, 1, 'yes', 'meta']"
43,"['d3_21_pro-choice', 6, 1, 1, 'yes', 'openai']"
44,"['d3_21_pro-choice', 6, 1, 1, 'yes', 'mistral']"
45,"['d3_21_pro-choice', 6, 1, 1, 'yes', 'gpt4']"
46,"['d3_21_pro-choice', 45, 0, 0, 'no', 'openai']"
47,"['d3_21_pro-choice', 45, 0, 0, 'no', 'meta']"
48,"['d3_21_pro-choice', 45, 0, 0, 'no', 'mistral']"
49,"['d3_21_pro-choice', 45, 0, 0, 'no', 'gpt4']"
50,"['d3_21_pro-choice', 105, 0, 0, 'no', 'meta']"
51,"['d3_21_pro-choice', 105, 0, 0, 'no', 'openai']"
52,"['d3_21_pro-choice', 105, 0, 0, 'no', 'mistral']"
53,"['d3_21_pro-choice', 105, 0, 0, 'no', 'gpt4']"
54,"['d3_21_pro-choice', 5, 1, 1, 'yes', 'openai']"
55,"['d3_21_pro-choice', 5, 1, 1, 'yes', 'meta']"
56,"['d3_21_pro-choice', 5, 1, 1, 'yes', 'mistral']"
57,"['d3_21_pro-choice', 5, 1, 1, 'yes', 'gpt4']"
58,"['d3_21_pro-choice', 41, 0, 0, 'no', 'mistral']"
59,"['d3_21_pro-choice', 41, 0, 0, 'no', 'meta']"
60,"['d3_21_pro-choice', 41, 0, 0, 'no', 'openai']"
61,"['d3_21_pro-choice', 41, 0, 0, 'no', 'gpt4']"
62,"['d3_21_pro-choice', 135, 0, 0, 'no', 'mistral']"
63,"['d3_21_pro-choice', 135, 0, 0, 'no', 'meta']"
64,"['d3_21_pro-choice', 135, 0, 0, 'no', 'openai']"
65,"['d3_21_pro-choice', 135, 0, 0, 'no', 'gpt4']"
66,"['d3_21_pro-choice', 113, 0, 0, 'no', 'mistral']"
67,"['d3_21_pro-choice', 113, 0, 0, 'no', 'meta']"
68,"['d3_21_pro-choice', 113, 0, 0, 'no', 'openai']"
69,"['d3_21_pro-choice', 113, 0, 0, 'no', 'gpt4']"
70,"['d3_21_pro-choice', 46, 0, 0, 'no', 'openai']"
71,"['d3_21_pro-choice', 46, 0, 0, 'no', 'meta']"
72,"['d3_21_pro-choice', 46, 0, 0, 'no', 'mistral']"
73,"['d3_21_pro-choice', 46, 0, 0, 'no', 'gpt4']"
74,"['d3_21_pro-choice', 123, 0, 0, 'no', 'mistral']"
75,"['d3_21_pro-choice', 123, 0, 0, 'no', 'meta']"
76,"['d3_21_pro-choice', 123, 0, 0, 'no', 'openai']"
77,"['d3_21_pro-choice', 123, 0, 0, 'no', 'gpt4']"
78,"['d3_21_pro-choice', 169, 0, 0, 'no', 'mistral']"
79,"['d3_21_pro-choice', 169, 0, 0, 'no', 'meta']"
80,"['d3_21_pro-choice', 169, 0, 0, 'no', 'openai']"
81,"['d3_21_pro-choice', 169, 0, 0, 'no', 'gpt4']"
82,"['d3_21_pro-choice', 1, 1, 0, 'no', 'mistral']"
83,"['d3_21_pro-choice', 1, 1, 1, 'yes', 'meta']"
84,"['d3_21_pro-choice', 1, 1, 1, 'yes', 'openai']"
85,"['d3_21_pro-choice', 1, 1, 1, 'yes', 'gpt4']"
